raceId,year,round,circuitId,name,date
1,2009,1,1,Australian Grand Prix,29/3/2009
2,2009,2,2,Malaysian Grand Prix,5/4/2009
3,2009,3,17,Chinese Grand Prix,19/4/2009
4,2009,4,3,Bahrain Grand Prix,26/4/2009
5,2009,5,4,Spanish Grand Prix,10/5/2009
6,2009,6,6,Monaco Grand Prix,24/5/2009
7,2009,7,5,Turkish Grand Prix,7/6/2009
8,2009,8,9,British Grand Prix,21/6/2009
9,2009,9,20,German Grand Prix,12/7/2009
10,2009,10,11,Hungarian Grand Prix,26/7/2009
11,2009,11,12,European Grand Prix,23/8/2009
12,2009,12,13,Belgian Grand Prix,30/8/2009
13,2009,13,14,Italian Grand Prix,13/9/2009
14,2009,14,15,Singapore Grand Prix,27/9/2009
15,2009,15,22,Japanese Grand Prix,4/10/2009
16,2009,16,18,Brazilian Grand Prix,18/10/2009
17,2009,17,24,Abu Dhabi Grand Prix,1/11/2009
18,2008,1,1,Australian Grand Prix,16/3/2008
19,2008,2,2,Malaysian Grand Prix,23/3/2008
20,2008,3,3,Bahrain Grand Prix,6/4/2008
21,2008,4,4,Spanish Grand Prix,27/4/2008
22,2008,5,5,Turkish Grand Prix,11/5/2008
23,2008,6,6,Monaco Grand Prix,25/5/2008
24,2008,7,7,Canadian Grand Prix,8/6/2008
25,2008,8,8,French Grand Prix,22/6/2008
26,2008,9,9,British Grand Prix,6/7/2008
27,2008,10,10,German Grand Prix,20/7/2008
28,2008,11,11,Hungarian Grand Prix,3/8/2008
29,2008,12,12,European Grand Prix,24/8/2008
30,2008,13,13,Belgian Grand Prix,7/9/2008
31,2008,14,14,Italian Grand Prix,14/9/2008
32,2008,15,15,Singapore Grand Prix,28/9/2008
33,2008,16,16,Japanese Grand Prix,12/10/2008
34,2008,17,17,Chinese Grand Prix,19/10/2008
35,2008,18,18,Brazilian Grand Prix,2/11/2008
36,2007,1,1,Australian Grand Prix,18/3/2007
37,2007,2,2,Malaysian Grand Prix,8/4/2007
38,2007,3,3,Bahrain Grand Prix,15/4/2007
39,2007,4,4,Spanish Grand Prix,13/5/2007
40,2007,5,6,Monaco Grand Prix,27/5/2007
41,2007,6,7,Canadian Grand Prix,10/6/2007
42,2007,7,19,United States Grand Prix,17/6/2007
43,2007,8,8,French Grand Prix,1/7/2007
44,2007,9,9,British Grand Prix,8/7/2007
45,2007,10,20,European Grand Prix,22/7/2007
46,2007,11,11,Hungarian Grand Prix,5/8/2007
47,2007,12,5,Turkish Grand Prix,26/8/2007
48,2007,13,14,Italian Grand Prix,9/9/2007
49,2007,14,13,Belgian Grand Prix,16/9/2007
50,2007,15,16,Japanese Grand Prix,30/9/2007
51,2007,16,17,Chinese Grand Prix,7/10/2007
52,2007,17,18,Brazilian Grand Prix,21/10/2007
53,2006,1,3,Bahrain Grand Prix,12/3/2006
54,2006,2,2,Malaysian Grand Prix,19/3/2006
55,2006,3,1,Australian Grand Prix,2/4/2006
56,2006,4,21,San Marino Grand Prix,23/4/2006
57,2006,5,20,European Grand Prix,7/5/2006
58,2006,6,4,Spanish Grand Prix,14/5/2006
59,2006,7,6,Monaco Grand Prix,28/5/2006
60,2006,8,9,British Grand Prix,11/6/2006
61,2006,9,7,Canadian Grand Prix,25/6/2006
62,2006,10,19,United States Grand Prix,2/7/2006
63,2006,11,8,French Grand Prix,16/7/2006
64,2006,12,10,German Grand Prix,30/7/2006
65,2006,13,11,Hungarian Grand Prix,6/8/2006
66,2006,14,5,Turkish Grand Prix,27/8/2006
67,2006,15,14,Italian Grand Prix,10/9/2006
68,2006,16,17,Chinese Grand Prix,1/10/2006
69,2006,17,22,Japanese Grand Prix,8/10/2006
70,2006,18,18,Brazilian Grand Prix,22/10/2006
71,2005,1,1,Australian Grand Prix,6/3/2005
72,2005,2,2,Malaysian Grand Prix,20/3/2005
73,2005,3,3,Bahrain Grand Prix,3/4/2005
74,2005,4,21,San Marino Grand Prix,24/4/2005
75,2005,5,4,Spanish Grand Prix,8/5/2005
76,2005,6,6,Monaco Grand Prix,22/5/2005
77,2005,7,20,European Grand Prix,29/5/2005
78,2005,8,7,Canadian Grand Prix,12/6/2005
79,2005,9,19,United States Grand Prix,19/6/2005
80,2005,10,8,French Grand Prix,3/7/2005
81,2005,11,9,British Grand Prix,10/7/2005
82,2005,12,10,German Grand Prix,24/7/2005
83,2005,13,11,Hungarian Grand Prix,31/7/2005
84,2005,14,5,Turkish Grand Prix,21/8/2005
85,2005,15,14,Italian Grand Prix,4/9/2005
86,2005,16,13,Belgian Grand Prix,11/9/2005
87,2005,17,18,Brazilian Grand Prix,25/9/2005
88,2005,18,22,Japanese Grand Prix,9/10/2005
89,2005,19,17,Chinese Grand Prix,16/10/2005
90,2004,1,1,Australian Grand Prix,7/3/2004
91,2004,2,2,Malaysian Grand Prix,21/3/2004
92,2004,3,3,Bahrain Grand Prix,4/4/2004
93,2004,4,21,San Marino Grand Prix,25/4/2004
94,2004,5,4,Spanish Grand Prix,9/5/2004
95,2004,6,6,Monaco Grand Prix,23/5/2004
96,2004,7,20,European Grand Prix,30/5/2004
97,2004,8,7,Canadian Grand Prix,13/6/2004
98,2004,9,19,United States Grand Prix,20/6/2004
99,2004,10,8,French Grand Prix,4/7/2004
100,2004,11,9,British Grand Prix,11/7/2004
101,2004,12,10,German Grand Prix,25/7/2004
102,2004,13,11,Hungarian Grand Prix,15/8/2004
103,2004,14,13,Belgian Grand Prix,29/8/2004
104,2004,15,14,Italian Grand Prix,12/9/2004
105,2004,16,17,Chinese Grand Prix,26/9/2004
106,2004,17,22,Japanese Grand Prix,10/10/2004
107,2004,18,18,Brazilian Grand Prix,24/10/2004
108,2003,1,1,Australian Grand Prix,9/3/2003
109,2003,2,2,Malaysian Grand Prix,23/3/2003
110,2003,3,18,Brazilian Grand Prix,6/4/2003
111,2003,4,21,San Marino Grand Prix,20/4/2003
112,2003,5,4,Spanish Grand Prix,4/5/2003
113,2003,6,70,Austrian Grand Prix,18/5/2003
114,2003,7,6,Monaco Grand Prix,1/6/2003
115,2003,8,7,Canadian Grand Prix,15/6/2003
116,2003,9,20,European Grand Prix,29/6/2003
117,2003,10,8,French Grand Prix,6/7/2003
118,2003,11,9,British Grand Prix,20/7/2003
119,2003,12,10,German Grand Prix,3/8/2003
120,2003,13,11,Hungarian Grand Prix,24/8/2003
121,2003,14,14,Italian Grand Prix,14/9/2003
122,2003,15,19,United States Grand Prix,28/9/2003
123,2003,16,22,Japanese Grand Prix,12/10/2003
124,2002,1,1,Australian Grand Prix,3/3/2002
125,2002,2,2,Malaysian Grand Prix,17/3/2002
126,2002,3,18,Brazilian Grand Prix,31/3/2002
127,2002,4,21,San Marino Grand Prix,14/4/2002
128,2002,5,4,Spanish Grand Prix,28/4/2002
129,2002,6,70,Austrian Grand Prix,12/5/2002
130,2002,7,6,Monaco Grand Prix,26/5/2002
131,2002,8,7,Canadian Grand Prix,9/6/2002
